TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-04-03 18:08:16.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-03 18:08:16.617,-0.08285478,0.6924418,0.93797565,1.4485238,-0.2906987,0.29074854,0.69351757,0.9361079,0.54316175,0.19244404,0.36577013,0.9845682,0.30026892,0.6548254,0.6928697,0.94557256,0.028449543,0.49415216,0.9375179,0.7030691,911.4286,1105.238,1171.3187,936.8132,846.9597,-0.27362060546875,0.103271484375,0.93072509765625,2.22808837890625,-28.21746826171875,0.3289794921875,1,1.0,1.0,1.0,1.0,67.11
2022-04-03 18:08:17.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-03 18:08:17.642,-0.08285478,0.8121502,1.007824,1.4485238,-0.2906987,0.38704816,0.8656802,0.9361079,0.54316175,0.16388653,0.20962957,0.9845682,0.30026892,0.578692,0.60964614,0.94557256,0.028449543,0.55331355,0.53652567,0.7030691,950.10986,956.9597,878.7912,961.79486,989.59705,-0.34130859375,0.10418701171875,0.91961669921875,8.680572509765625,14.153594970703125,-27.215576171875,1,2.0,1.0,1.0,2.0,67.11
2022-04-03 18:08:18.662,-0.08285478,0.8121502,1.007824,1.4485238,-0.2906987,0.38704816,0.8656802,0.9361079,0.54316175,0.16388653,0.20962957,0.9845682,0.30026892,0.578692,0.60964614,0.94557256,0.028449543,0.55331355,0.53652567,0.7030691,914.2491,906.1905,851.39197,867.1062,898.93774,-0.3563232421875,0.17840576171875,0.9085693359375,-4.0972900390625,-0.186920166015625,-1.79443359375,1,2.0,1.0,1.0,2.0,67.11
2022-04-03 18:08:19.671,0.6138471,0.12218042,-0.10468355,1.0266492,0.52158403,-0.24093546,-0.5214131,0.47214445,0.91455895,0.09153993,-0.34644365,1.0178155,1.0646913,0.23836862,0.107234634,1.305971,1.1023048,0.34049064,0.004195567,1.132627,810.293,895.31134,850.18317,850.989,837.6923,-0.34405517578125,0.17742919921875,0.90478515625,-3.581390380859375,0.291595458984375,3.970184326171875,1,1.0,1.0,1.0,1.0,67.11
2022-04-03 18:08:20.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-03 18:08:20.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-03 18:08:20.687,0.50996155,0.70370513,-0.18970844,1.0667332,0.40128064,-0.084480725,-0.48122364,0.43776155,0.837051,0.09537615,-0.19756816,1.0047436,1.0942628,0.10487618,0.14075942,1.3083931,1.0648057,0.09220266,0.078739114,1.1372645,1650.0,1116.1172,1178.9744,874.35895,1081.4652,0.08709716796875,0.03350830078125,1.06005859375,-5.36834716796875,-6.69921875,-9.8394775390625,1,1.0,1.0,1.0,1.0,67.11
2022-04-03 18:08:21.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
